Id,Foi_id,Networksize(=Number_leafs),Number_flows,Number_nesting_tree_nodes,Max_deg,Avg_deg,Level_nesting,Balanced,LUDB_FF_delay,LUDB_FF_ctime,SFA_FIFO_delay,SFA_FIFO_ctime,GS_FF_Simple_g_2_delay,GS_FF_Simple_g_2_ctime,GS_FF_Simple_g_3_delay,GS_FF_Simple_g_3_ctime,GS_FF_Simple_g_4_delay,GS_FF_Simple_g_4_ctime
3803,13,19,14,33,6,2.286,6,FALSE,2.840663062319124,99528400171,49.77531123477019,3997347186,7.393528133301135,695728346,4.583987442646704,691709900,5.283888179758743,134555237484
3810,12,19,13,32,7,2.385,5,FALSE,3.168516127041019,14724339528,26.3992303884927,117042945,7.350424797557412,321172442,5.06370303995752,314290777,5.410729364868651,40256872879
3814,12,9,13,22,2,1.615,5,FALSE,3.3981137817232083,83303505214,15.059384970575174,3284868,9.734567901234565,230269096,5.881301440329218,229795551,6.958847736625512,29223779137
3815,8,10,9,19,3,2,4,FALSE,2.9755718196721315,3444485398,16.371094752571572,6496219,7.434782608695653,11499680,7.021739130434784,12281974,5.387523629489603,291124476
3828,12,19,13,32,5,2.385,5,FALSE,3.046167415372362,8463872636,31.911121469147133,445116742,7.0928414974113885,324575010,4.934911389884508,328129155,4.672125979025621,482917447
3837,14,18,15,33,5,2.133,5,FALSE,3.7020857296561793,142084971763,41.139156743689085,906985628,8.866193014302956,1385543839,6.980613015908296,1388894156,6.526503191084121,400906356301
3839,13,15,14,29,3,2,6,FALSE,2.9665739696626456,170350833875,29.350266910551895,127255191,7.9086197260841065,632567527,4.903344230172147,624464802,5.9051027288094655,121903483949
3843,14,22,15,37,4,2.4,5,FALSE,3.96334836856166,307997086949,91.85128599922754,7094634380,10.575102880658433,1514087129,10.575102880658433,453479632920,7.519204389574758,443670197522
3845,14,20,15,35,6,2.267,5,FALSE,3.6119320282755876,62267284796,40.64180205180361,460891122,8.819942254082038,1414394299,6.176797092791716,1422714305,5.319709942917829,1623649281
3846,14,14,15,29,6,1.867,6,FALSE,3.0431213351144635,57083107219,9.470902383398782,10035253,7.365060506050606,1293993217,5.698088951752319,1337192825,4.6586976792917385,1687879655
3849,9,14,10,24,4,2.3,6,FALSE,2.1775442504379354,12957087977,16.73817183096575,50137329,5.839024390243901,30481050,3.6201951219512196,30855324,3.616105303910181,31354608
3857,13,20,14,34,4,2.357,6,FALSE,2.8985031982323104,83348435763,67.566616100613615,3630299923,7.187402935415492,688491809,5.233022542672385,706623006,4.939883958198374,131754465256
3862,11,12,12,24,3,1.917,5,FALSE,2.9369381270410195,9958520143,12.050750790779865,12735783,6.630641842559403,128331061,4.775695274127173,131266354,4.880889134106228,10881566247
3863,13,15,14,29,4,2,5,FALSE,3.3689706557314483,21647281278,24.996216210598266,104183460,8.142091464224078,583273805,5.224968472056284,584886783,5.9934839944982805,110828701410
3865,14,19,15,34,6,2.2,6,FALSE,2.932597682904291,28232322206,25.911297163809422,332729830,6.613982129920309,1441379878,5.261591403042743,1450847400,4.622675682202367,411780571557
3868,13,18,14,32,6,2.214,4,FALSE,4.5630965193632695,66404400368,32.690599313704126,110879473,11.307911617961512,645853162,11.307911617961512,126734364748,10.842955571394633,123482253640
3869,14,17,15,32,5,2.067,5,FALSE,3.714302813981273,124747753062,26.612094044175088,227195354,8.661965259833476,1323165183,7.658573786965259,1470651101,6.376168871821864,382427209584
3870,12,15,13,28,5,2.077,6,FALSE,2.7592678420671337,64394234609,18.198236023632937,27536003,7.955131610722048,291608555,4.932181598647669,293574269,3.9245315946228776,292021530
3871,10,12,11,23,4,2,5,FALSE,2.7902588230452676,6366434782,10.775123489889976,6852697,6.359017609340604,61194016,5.416086467604554,70981577,4.590818100615688,3499085472
3875,10,20,11,31,5,2.727,4,FALSE,3.26418873271561,4384101034,56.82814621991266,830058018,7.451226962631098,72423370,5.846612700675424,73186769,4.9162169500729735,69912562
3877,12,17,13,30,5,2.231,5,FALSE,3.115674530731447,16028346238,34.26779045954293,212809292,8.135155316606928,300017352,4.914989670450019,298157388,5.390156566919508,307250801
3878,8,11,9,20,6,2.111,4,FALSE,2.8050844726945665,1619419808,18.104714725810005,11843598,6.92017106200998,13407965,4.061839536397161,12081684,4.85094737467332,306628544
3881,10,8,11,19,2,1.636,5,TRUE,2.835655316606929,11408206684,8.372973217744606,1714840,6.752009761699681,50077183,5.585307206431236,49741059,4.970229407917822,2872040953
3882,13,16,14,30,5,2.071,5,FALSE,3.6090214153723617,94521638347,22.24228230844476,109105782,9.370104871896984,652725476,9.256288995088276,701455688,7.166091419974334,126081175510
3883,12,17,13,30,5,2.231,5,FALSE,3.0992037556584355,20424120943,16.52368247931201,229236346,7.008977167131286,300744067,5.649649873888224,348967056,5.0943902385061275,38770353537
3891,13,18,14,32,6,2.214,4,FALSE,4.628253307809796,50283711613,24.736147609271104,110751903,11.050605844618676,680843871,11.050605844618676,135366738730,10.034925160370634,132323626000
3904,11,16,12,28,4,2.25,4,FALSE,3.5987058474697085,6862659729,24.459280438067537,101681462,7.413501680073314,141084004,6.8734175067033245,183781112,5.637833893357772,11743644965
3905,10,11,11,22,5,1.909,5,FALSE,2.653057735961768,4609444783,16.77330772989193,6747409,6.851337448559669,55192458,4.139349708504802,55400995,3.672269790698704,57186821
